name,lat,lon,place_type,population
unnamed,-17.8359876,178.1142472,village,
unnamed,-17.8257879,178.1148886,village,
Botenaulu,-17.8157748,178.1076822,village,
Elsio,-12.4805345,177.077001,village,
Oinafa,-12.4889591,177.1240166,village,
Noa'tau,-12.5131982,177.1370135,village,
Uanheta,-12.5207783,177.1028279,village,
Pepjei,-12.5227997,177.0939337,village,
Juju,-12.5216266,177.0812379,village,
Itu'ti'u,-12.5177723,177.0595764,village,
Motusa,-12.5078408,177.0382997,village,
Ahau,-12.5010421,177.0478913,village,
Itu'muta,-12.4975656,177.0299205,village,
Varavu,-17.4843279,177.7173494,village,
Nukuyaweni,-18.0255691,179.2368319,hamlet,
Vadravadra,-18.1089085,179.3558319,village,
Yadua,-18.0767102,179.3608709,hamlet,
Waisomo,-18.0569951,179.3530568,hamlet,
Naevuevu,-18.1526307,177.4433139,village,
Tore,-18.1545728,177.436759,village,
Sila,-18.1544199,177.4396773,village,
Cuvu,-18.1453871,177.4298496,village,
Malomalo,-18.1240637,177.3579384,village,
Sanasana,-18.1133227,177.3268923,village,
Malaqere,-18.1568415,177.4524734,village,
Mataqe,-18.1644551,177.4714859,village,
Kulukulu,-18.164482,177.4960055,village,
Nasama,-18.1556846,177.5014558,village,
Yavulo,-18.1442635,177.5068779,village,
Olosara,-18.1596125,177.5239651,village,
Korotogo,-18.1684231,177.5414346,village,
Naivimagimagi,-19.0349163,178.4046044,village,50
suva,-17.443591,178.9547351,village,150
levuka,-18.0624016,179.30786,village,
Wailevu Village,-16.434111,179.3284637,village,
Nasekula Village,-16.437137,179.3617051,village,
Navesidrua Village,-16.558527,179.1327875,village,
Naivaka Village,-16.6479791,178.5236767,village,
Vuo Village,-16.3675377,179.3755394,village,
Nacula Village,-16.4357908,179.3729288,village,
Tabia,-16.4583132,179.2449987,village,
Galoa Village,-16.6155247,178.6805766,village,
Tavea Village,-16.6254847,178.7263656,village,
Naviqiri Village,-16.6627228,178.5941683,village,
Nasau Village,-16.6714264,178.5801388,village,
Vatudova,-16.4304759,179.2819359,village,
Uma Village,-16.5002761,179.9884619,village,
Buakonikai Village,-16.5363251,179.9752255,village,
Salia Village,-16.6685143,179.9015934,village,
Koroivonu Village,-16.5711869,179.8856103,village,
Karoko Village,-16.5105348,179.9153734,village,
